Gauge	PSMSL_ID	Short_Name	Lat	Lon	Long_Name	Region	Basin	Record_Start	Record_End	N_Obs	QA_YR1	QA_YR2	QA_Yrs	QA_frac	QA_Pass	Adj
350A	518	Kush	42.97	144.37	Kushiro	Japan	Pacific	1963	2018	20454	1963	2018	56	0.98	TRUE	-0.000765441
356A	1089	Mais	34.68	137.62	Maisaka	Japan	Pacific	1968	2018	18628	1968	2018	51	0.97	TRUE	-0.140012322
GESLA_0721	663	Maiz	35.467	135.383	Maizuru	Japan	Pacific	1968	2013	16430	1968	2013	46	1	TRUE	0.019396662
GESLA_0977	1142	Maku	31.267	130.3	Makurazaki	Japan	Pacific	1964	2013	16969	1964	2013	50	0.95	TRUE	-0.016671303
GESLA_1229	880	Mats	33.867	132.717	Matsuyama	Japan	Pacific	1960	2013	18968	1960	2013	54	0.98	TRUE	-0.573626677
352A	359	Mera	34.92	139.82	Mera	Japan	Pacific	1965	2018	19723	1965	2018	54	0.95	TRUE	0.005612906
GESLA_0147	810	Misu	32.617	130.45	Misumi	Japan	Pacific	1960	2012	18576	1960	2012	53	0.98	TRUE	0.042932458
357A	1060	Miya	34.07	139.47	Miyakejima	Japan	Pacific	1964	2018	20089	1964	2018	55	0.98	TRUE	0.01309782
GESLA_1188	1149	Miya	39.65	141.983	Miyako	Japan	Pacific	1960	2013	18274	1960	2013	54	0.94	TRUE	-0.009619202
GESLA_0682	1390	Muro	33.267	134.167	Murotomisaki	Japan	Pacific	1966	2013	16033	1966	2013	48	0.93	TRUE	0.018460421
362A	1100	Naga	32.73	129.87	Nagasaki	Japan	Pacific	1985	2018	12418	1985	2018	34	1	TRUE	-0.029505875
GESLA_0567	860	Nago	35.083	136.883	Nagoya	Japan	Pacific	1960	2013	19352	1960	2013	54	1	TRUE	0.015624801
355A	1151	Naha	26.22	127.67	Naha	Japan	Pacific	1966	2018	19358	1966	2018	53	0.99	TRUE	0.012812032
345A	1105	Naka	29.83	129.83	Nakano Shima	Japan	Pacific	1984	2018	12784	1984	2018	35	0.99	TRUE	0.000513527
359A	887	Naze	28.4	129.48	Naze	Japan	Pacific	1957	2018	22645	1957	2018	62	0.94	TRUE	0.009307055
363A	1096	Nish	30.73	130.98	Nishinoomote	Japan	Pacific	1965	2018	19723	1965	2018	54	0.98	TRUE	-0.024748664
351A	1364	Ofun	39.02	141.75	Ofunato	Japan	Pacific	1965	2018	19723	1965	2018	54	0.98	TRUE	-0.015012892
GESLA_0653	1091	Okad	34.783	139.383	Okada	Japan	Pacific	1960	2013	18605	1960	2013	54	0.96	TRUE	-0.029059562
GESLA_0690	1263	Omae	34.617	138.217	Omaezaki	Japan	Pacific	1960	2013	18879	1960	2013	54	0.98	TRUE	0.010642627
GESLA_0541	1102	Oura	32.983	130.217	Oura	Japan	Pacific	1967	2013	16383	1967	2013	47	0.98	TRUE	0.083344056
GESLA_0962	1146	Owas	34.067	136.217	Owase	Japan	Pacific	1965	2013	17142	1965	2013	49	0.98	TRUE	0.006891969
GESLA_0473	1095	Saig	36.2	133.333	Saigo	Japan	Pacific	1960	2013	19336	1960	2013	54	1	TRUE	0.023254319
GESLA_1052	811	Saka	35.55	133.25	Sakai	Japan	Pacific	1960	2013	19045	1960	2013	54	0.98	TRUE	0.008077416
GESLA_0438	808	Shim	35.017	138.517	Shimizuminato	Japan	Pacific	1964	2013	17881	1964	2013	50	1	TRUE	-0.012664197
GESLA_1087	1150	Shir	33.683	135.383	Shirahama	Japan	Pacific	1967	2013	16599	1967	2013	47	0.99	TRUE	0.002701666
GESLA_0525	1098	Sumo	34.35	134.9	Sumoto	Japan	Pacific	1964	2013	17688	1964	2013	50	0.99	TRUE	-0.352117811
GESLA_0684	847	Taka	34.35	134.05	Takamatsu	Japan	Pacific	1964	2013	16601	1964	2013	50	0.93	TRUE	0.585300943
GESLA_0086	817	Tann	34.333	135.183	Tannowa	Japan	Pacific	1966	2013	16560	1966	2013	48	0.96	TRUE	-0.35391965
GESLA_0047	673	Toky	35.65	139.767	Tokyo	Japan	Pacific	1960	2013	18422	1960	2013	54	0.95	TRUE	-0.012738184
GESLA_0922	815	Tosa	32.783	132.967	Tosashimizu	Japan	Pacific	1960	2013	19323	1960	2013	54	1	TRUE	0.023231639
349A	1389	Toya	36.77	137.23	Toyama	Japan	Pacific	1967	2018	18993	1967	2018	52	0.98	TRUE	0.017326252
GESLA_1219	407	Uchi	35.017	138.883	Uchiura	Japan	Pacific	1960	2013	19202	1960	2013	54	0.99	TRUE	-0.010799567
GESLA_0956	812	Uno	34.483	133.95	Uno	Japan	Pacific	1964	2013	16993	1964	2013	50	0.95	TRUE	0.746111776
GESLA_0676	1090	Urag	33.567	135.9	Uragami	Japan	Pacific	1962	2013	16627	1962	2013	52	0.89	TRUE	0.01343871
GESLA_0851	461	Uwaj	33.233	132.55	Uwajima	Japan	Pacific	1963	2013	17374	1963	2013	51	0.95	TRUE	-0.437255645
GESLA_0790	816	Waka	34.217	135.15	Wakayama	Japan	Pacific	1966	2013	16769	1966	2013	48	0.98	TRUE	-0.149680856
360A	1103	Wakk	45.4	141.68	Wakkanai	Japan	Pacific	1967	2018	18993	1967	2018	52	0.99	TRUE	0.036404455
GESLA_0619	722	Yoko	35.467	139.633	Yokohama	Japan	Pacific	1960	2006	14431	1960	2006	47	0.86	TRUE	-0.011983702
320A	1592	Cend	5.25	103.18	Cendering	Malaysia	Pacific	1984	2015	11688	1984	2015	32	0.94	TRUE	0.053276995
